,rgi_id,period,PDD,area,icecap,lat,prcp_01,prcp_02,prcp_03,prcp_04,prcp_05,prcp_06,prcp_07,prcp_08,prcp_09,prcp_10,prcp_11,prcp_12,rain,slope,snow,temp_01,temp_02,temp_03,temp_04,temp_05,temp_06,temp_07,temp_08,temp_09,temp_10,temp_11,temp_12,zmax,zmed,zmin,period_min,period_max
961,RGI60-08.00481,2010-2020,55.61603596305847,0.123,0.0,61.466,177.588855,152.6980839,197.0954102,143.5396116,109.2054405,119.3622318,67.7963878,69.63341,91.8623149,99.3892449,152.3193695,176.9216616,1016.187919,9.2,541.224142,1.52481476,-2.58333337,-5.42888924,-6.518889,-5.725926169999999,-4.08222217,-0.69888898,3.87740652,7.563333009999999,9.9940738,9.41407335,5.83703826,1520.0,1496.0,1408.0,2010,2020
81,RGI60-08.00041,2010-2020,34.966555694341665,0.541,0.0,67.217,51.3064224,52.849471300000005,63.51692920000001,45.2567349,42.56964427,58.2243132,50.1674101,50.4253182,78.1761712,89.2437175,77.8061862,51.7434407,349.083166,18.7,362.202614,-3.10222239,-8.56444551,-12.8911114,-16.085558400000004,-14.72777975,-11.8011124,-6.21444487,-0.0855553541,5.07333294,8.9277771,7.39666765,3.39666673,1726.0,1566.0,1436.0,2010,2020
4989,RGI60-08.02495,2010-2020,54.55198199934959,0.201,0.0,70.228,82.9816443,71.1484117,96.1907927,65.0501189,69.5766654,83.0087187,59.7867758,58.8766188,70.7429604,70.42029360000001,73.8719579,62.5506442,583.8765139999999,11.1,280.329091,1.385555561,-1.3299996842,-3.39444363,-5.74444485,-5.26333378,-4.562223449999999,-1.173333266,2.968888786,6.16555627,10.0622245,9.2044452,6.61333352,968.0,902.0,833.0,2010,2020
457,RGI60-08.00229,2010-2020,39.35039917185307,0.689,0.0,68.208,49.5559707,45.0585986,55.4878051,41.7043935,40.22029457,50.3101818,41.4259225,41.5737664,65.9516249,76.3844562,68.7563858,44.33972,317.732735,11.0,303.036389,-2.920000494,-7.5866655,-11.4633339,-14.85333225,-13.303333,-10.9799998,-5.30666612,0.6366667180000001,5.4766666,9.4699992,7.64666651,3.55000024,1569.0,1445.0,1299.0,2010,2020
5613,RGI60-08.02807,2010-2020,76.16431224937439,0.057,0.0,62.44100000000001,146.37989,131.176199,184.5290745,124.2059642,102.6215367,124.2644364,79.17433259999999,59.6664445,75.61576740000001,89.08720869999999,119.7443245,136.60539799999998,1105.275668,30.1,267.7948853,2.6507408,-1.48592631506,-4.58407384,-5.62296317,-4.71444425,-2.846667225,0.478518458,5.10666689,8.12296355,10.6262963,10.1448153,6.87074118,1587.0,1509.0,1457.0,2010,2020
4485,RGI60-08.02243,2010-2020,52.98653390808105,0.289,0.0,66.07,192.60836,158.828091,222.9221316,147.1241029,140.95694980000002,152.8349859,110.7480481,77.40380250000001,102.5405755,91.7346223,122.2116054,159.0671466,917.849476,6.5,761.13095,1.265925995,-2.408518536,-5.36222256,-7.224445950000001,-6.34555563,-4.84444447,-1.235555488,3.4359259200000003,6.941852079999999,10.2655554,9.62962955,6.380370879999999,1129.0,1093.0,1070.0,2010,2020
4112,RGI60-08.02057,2000-2010,64.95857503538132,0.128,0.0,68.353,164.33436,157.3147199,152.386028,146.986389,133.6032629,105.3964691,92.6758689,96.355941,82.8830307,76.4291736,90.9210473,186.36704,1243.1093,28.4,242.544019,4.110000044,1.7166667270000002,-0.292222775,-0.33777802087,-1.873333403,-1.6733328070000002,1.91888879,5.47888863,8.732221730000001,12.2155548,11.8499998,7.918888069999999,559.0,425.0,303.0,2000,2010
3592,RGI60-08.01797,2000-2010,41.97213341622353,0.094,0.0,69.378,70.5940018,65.8064218,70.7978379,71.5591254,67.80793489999999,50.2125829,49.8460827,59.2739084,59.8829564,73.5560921,72.0977766,79.5073125,425.627527,27.1,365.314513,-0.417777996,-4.697777820000001,-7.38999954,-8.3722213,-9.2366673,-7.871111770000001,-3.08555553,1.55333331,6.1011102600000005,9.9177791,8.60777776,4.21333337,1236.0,1042.0,958.0,2000,2010
6256,RGI60-08.03129,2000-2010,33.80595498766899,0.149,0.0,59.989,148.2774725,126.8897196,129.9394532,133.553872,90.3386993,77.3866674,55.158306200000006,67.60329709999999,78.4194126,101.9810668,123.3039605,114.75491200000002,614.099211,7.6,633.5076230000001,0.7025926100000001,-3.85629631,-6.14518567,-6.57666591,-7.49000018,-6.698147950000001,-2.5777777100000003,1.594814453,5.83407316,8.53296334,8.342222459999999,4.60296309,1537.0,1502.0,1469.0,2000,2010
1491,RGI60-08.00746,2010-2020,32.88073443021774,0.25,0.0,69.261,54.6431267,50.1853591,66.9648256,48.0951799,50.3179197,56.8674121,42.0311668,44.772766,68.7036418,73.9335464,61.3360061,45.6233019,302.160138,28.0,361.314115,-1.913333887,-6.41333429,-10.1166678,-13.1333362,-11.71333107,-9.62333259,-4.653334259999999,1.0633331972,5.24666707,9.26666651,7.886667350000001,4.26000009,1326.0,1046.0,944.0,2010,2020
