,dmdtda
1429,-0.8747
4198,-0.6652
0,-0.4587719762258563
376,-0.3662
4552,0.0226
4657,-0.1556
1536,-0.3278
949,0.0112
2050,-0.2258
1147,-0.4468
5040,-0.4168999999999999
2148,-0.4278
3689,-0.1337
4422,-0.6055
2364,-0.4833999999999999
5584,-0.8070999999999999
5563,-0.9186
2805,-0.5751
4904,0.1005
3158,-0.6422
3529,-0.3195
3180,-0.1436
363,-0.2
1127,-0.2484
4642,0.2301
5817,-0.2061
6236,-0.4199
729,-0.0798
2073,-0.0475
71,-0.3414
2526,-0.7023
5217,-0.8585
5204,-0.0535
3412,-0.2254999999999999
1722,0.0084
161,-0.8223
4606,-0.2538
4697,-0.4728
5459,-0.3475
65,-1.0293
3803,-0.1238999999999999
4082,-0.2318
6137,-0.4806
2540,-0.2936
378,-0.53
3676,-0.9207
5989,-0.3014
3665,-0.6081
3543,-0.1987
3333,-0.0481
2625,-0.1913
2215,-0.714
1182,-1.5929
5871,0.1549
5688,-0.9896
5641,-0.9035
1042,-0.9341000000000002
2782,0.1652
5262,-0.3883
6321,-0.6786
5988,-0.799
371,-0.4798999999999999
3562,-0.7316
4204,-0.4741000000000001
1541,-0.5912
5602,-0.6159
2120,-0.4222
5666,-0.6891
3300,-0.3368
2373,-0.5777
2639,-0.1932
4764,-0.3918
3429,0.0452
1146,-0.5209
2565,-0.4953
3128,-0.0286999999999999
1234,-0.1652
355,-0.1392
2141,0.0468
2685,-0.5448
5361,-0.4857
1028,-0.2904
3899,0.007
4549,-0.0116
122,0.3062
3531,-0.5508
3559,-0.7886
6416,-0.7083
2457,0.0342
3385,0.0383
3363,-0.1865
3941,-0.3053
3,-0.3562499554234775
3297,0.0247
5691,-1.0174
1651,0.0236
2663,-1.2631
803,-0.1668
6109,-0.7838
1999,-0.7537
5092,-1.1021
3924,-0.9479
3301,0.2955
5089,-0.0067999999999999
386,-0.0941
717,-0.6109
2908,-0.0687
5523,-0.5357
1068,-0.6171
6087,-1.2036
4025,-0.2157
2379,-0.4031
2928,-0.3944
2214,-0.5165
2776,-0.1051
2233,-0.2764
794,-0.3692
6360,0.312
6662,-0.1003
1266,0.11
816,-0.9399999999999998
4973,0.4189
2472,-0.0058
2993,0.0949
1844,0.0176
3687,-1.0181
4860,-0.2819
1192,-0.1292
2220,-0.9004
3122,-0.366
5415,-0.3362
1833,-0.2954
2738,-0.3689
5270,-0.5894
276,-0.4009999999999999
6226,-0.5128
4247,0.1463
3842,-0.1735
3747,-0.4532999999999999
6378,-0.4431999999999999
4004,-0.7878
4083,-0.3926
3312,-0.2977
5809,-0.4682
6408,-0.1106
3917,-0.4758
3874,0.0897
4664,0.0107
2970,-1.4764
3443,-0.3238
3943,-0.5302
3285,0.1498
5689,-0.8327
2123,-0.5789
3701,-0.0133
2571,-0.6852
1445,-0.2094999999999999
5704,-0.9296
1035,-0.8966
3264,0.6846
3316,-1.0766
2670,-0.9394
3666,-0.4587719762258563
2800,-0.4019
1195,-0.9708
3063,0.0246
731,-0.2912
6685,0.1144
497,-0.3686
6777,-0.7453
4249,-0.3562499554234775
2149,-0.7555
4876,-0.0482
5493,0.3328
711,0.4044
6193,-0.3561
4565,-0.0313
5313,-0.8263
4807,-1.3114
2314,-0.8642
3474,-0.3837
5155,-0.1042
3001,0.195
524,-0.3009
5812,-0.5757
4499,0.0098
2834,-0.3243
2321,-0.6343
641,-0.4431
6106,-0.8932
321,-0.8692
6063,-0.2463
4191,-0.1916
2078,-0.5555
6253,-0.6529
4923,-0.5033
4407,-0.4025
491,-0.4782
1837,-1.1336
4947,-0.9724
2986,-0.4650999999999999
4825,0.2253
2330,-0.7826
3852,-0.6661
5023,-0.3017
2337,-0.1313
6083,-0.491
