,dmdtda
2328,-0.4461
327,0.0152
4860,-0.2819
2113,-0.1202
6436,-0.3877
3631,-1.076
4405,-0.2952
3038,-0.2692
2849,-0.2724
3044,-0.9716
4105,0.0334
2719,-0.867
5658,-1.3905
276,-0.4009999999999999
1148,-0.3155
1801,-0.8215
848,-0.45
1201,0.1941
4511,-0.5646
6202,-0.4189999999999999
2303,-0.6147
5585,-0.6538
5931,-0.9567
1417,-0.2628
2297,-0.4199
45,0.454
1319,-0.3352
1594,-0.3865
4727,-0.5196
1938,0.2813
5416,-0.5765
3359,-0.236
3801,-0.1223
3366,-0.4823
5383,-0.3519
3398,-0.338
5850,-0.4469999999999999
3829,-0.1086
5592,-0.6127
704,-0.2972
5905,-0.7758
6199,-0.3582
3729,0.0691
5871,0.1549
3410,-0.3101
1248,-0.1653
1658,-0.889
3920,-0.758
3467,-0.3369
6349,-0.5415
947,-0.52
5222,-0.6238
3203,-0.1897
1983,-0.6635
31,-0.2346
2503,-0.3407
490,-0.2947
5098,-1.0192
1239,-1.1253
3391,-0.0648
2133,-0.0691
6617,-0.5414
1018,-0.1764
598,-0.6958
5759,-0.695
3777,-0.0497
3024,-0.5535
1231,0.0548999999999999
4850,-0.4518
1894,-0.0347
1387,-0.0982
376,-0.3662
789,-0.222
6777,-0.7453
3705,-0.2698
2300,-0.4425
3101,-0.5118
5788,0.124
6125,-0.1052999999999999
5829,0.0433
544,-0.3429
5568,-0.448
5437,-0.0986
1813,-0.5747
2579,-0.1639
334,-0.3393
4356,-0.8870000000000001
2839,-0.4404
5943,-0.7149
6367,-0.013
1316,-0.2627
1587,-0.5804
3581,-0.4013
1181,-0.1853
5800,-0.7342
4528,-0.1854
6280,0.0251
6603,-1.0311
5166,-0.4345
4563,-0.0314
777,0.0923
6497,-0.1036
2939,0.0829
5839,-0.8865000000000001
52,-0.8527000000000001
1952,0.1424
4809,0.4062
5515,-0.7252
4083,-0.3926
1716,-0.9059
3925,-1.3123
5925,-1.1674
141,-0.6243
5094,-0.9891
3545,-0.7268
1336,0.2773
3940,-0.3558
3732,-0.3851
5386,-2.1231
659,-0.6603
4669,-0.123
4863,-0.2436999999999999
6616,-0.6804
539,-0.3221
5889,-1.0839
2662,0.4401
6340,-1.0428
62,-0.6328
5110,-1.1312
921,-0.1358
2750,-0.2534
5404,-0.9367
3409,-0.3324
1548,-0.7659
5399,0.359
5684,-0.2227999999999999
5741,-0.3008
4287,-0.5113
2418,0.0087
5199,-0.4128
4963,-0.3572
5152,-0.3789
2372,-0.6619
2777,-0.4173
4177,-0.8583999999999999
2970,-1.4764
